order_id,customer_id,customer_name,customer_email,customer_phone,product_name,category,quantity,unit_price,discount_percent,order_date,ship_city,ship_state,ship_country,payment_method,order_status,rating,review_text
ORD109196,CUST113042,Linda Balogun,linda.balogun821@yahoo.com,0945-792-1768,Lipstick,Beauty ,9,189948.14,,"September 21, 2024",CALABAR,Cross River,nigeria,CREDIT CARD,delivered,1,
ORD122603,CUST083526,SARAH JONES,sarah.jones994@yaho.com,01310399653,Sneakers,fashion,7,61141.35,5,--,Port Harcourt,Rivers,nigeria,bank transfer,Cancelled,,<b>Excellent</b>
ORD116061,CUST109570,JAMES BELLO,james.bello@ymail.com,03582740651,Nail Polish Set,beauty,two,142426.32,,18-10-2026,Johannesburg,Gauteng,South Africa,CC,Deliverd,4,Great product!
ORD108566,CUST094589,Emeka Perez,emeka.perez@yaho.com,(363) 296-0282,Noodles Carton,Grocery,7,$178639.78,,06/26/2026,Johannesburg,Gauteng,South Africa,ussd,cancelled,2,Fast delivery
ORD131257,CUST054302,  Fatima Jackson  ,fatima.jackson@yahoo.com,08894739514,Table Lamp,Home and Kitchen,2,247289.82,0,02/22/2026,Benin City,Edo,Nigeria ,PAYPAL,delivered,3,Not what I expected
ORD116832,CUST064991,Obinna Anderson,obinna.anderson@yaho.com,0317-312-5845,Curtain Set,Home&Kitchen,8,143239.0,30,2023-05-21,Accra,Unknown,ghana,COD,RETURNED,4,
ORD112139,CUST045865,"Davis, Ifeoma",ifeoma.davis@hotmail.com,+2341465285811,Perfume,Beuaty,5,165990.73,134,31 Aug 2025,Port Harcourt,Rivers,NIGERIA,credit card,pending,2,meh
ORD113557,CUST117636,William Okonkwo,william.okonkwo321@yahoo.com,0253-222-9520,Baby Lotion,baby products,10,154391.22,25,17 Mar 2025,London,England,UK,Debit Card,shipped,,  Poor quality  
ORD124533,CUST076293,Linda Moore,linda.moore256@yaho.com,8469330352,Noodles Carton,Groceries,5,"NGN 128,299.17",,1701216000,Dubai,Dubai,U.A.E.,Pay Pal,processing,,product came late :(
ORD121414,CUST001885,musa anderson,null,(571) 441-1652,Bed Sheet Set,home & kitchen,10,0,10,,?,Cross River,nigeria,cash on delivery,Shipped,2,Highly recommend!!!
ORD110889,CUST018930,Barbara Anderson,barbara.anderson@outlook.com,5637677256,Ankara Fabric,Fashion ,5,50200.27,30,04/03/2024,New York,NY,U.S.A.,unknown,RETURNED,4,Great product!
ORD129421,CUST004860,Musa Brown,-,+2342531540971,Rice 5kg Bag,Groceries,1,52806.67,10,15 Jun 2026,Dubai,Dubai,United Arab Emirates,Credit Card,DELIVERED,,
ORD121578,CUST025999,Mary Balogun,mary.balogun@outlook.com,07509796475,Shea Butter,beauty,5,67944.49,50,03-06-2025, Los Angeles ,CA,usa,PayPal,Returned,3,  Poor quality  
ORD118377,CUST021108,Jessica Okonkwo,jessica.okonkwo636@yahoo.com,5534119570,USB-C Cable,Electroincs,7,221048.11,50,10/07/2024,PORT HARCOURT,Rivers,nigeria,Pay Pal,Pending,2,meh
ORD115361,CUST067394,Jessica Miller,jessica.miller805@outlook.com,+2345831090755,Beans 2kg,GROCERIES,9,$98033.14,25,15 Jun 2025,Calabar,Cross River,Nigeria,debit card,returned,2,
ORD128675,CUST064298,Aisha Balogun,null,08120082032,Non-stick Pan,HOME & KITCHEN,9,"NGN 131,895.37",0,17-03-2023,Enugu,Enugu,nigeria,Credit Card,Processing,2,  Poor quality  
ORD121491,CUST087626,musa perez,MUSA.PEREZ@OUTLOOK.COM,0818-592-5962,Denim Jeans,Fashion ,6,243777.56,,18 Aug 2023, Ibadan ,Oyo,NG,paypal,SHIPPED,4,  Poor quality  
ORD117552,CUST070731,"Wilson, Linda",linda.wilson637@outlook.com,03123836280,Electric Kettle,HOME & KITCHEN,4,78043.03,20,26 Jul 2026,London,N/A,U.K.,Credit card ,Processing,5,
ORD131758,CUST068756,Ngozi Taylor,NGOZI.TAYLOR3@HOTMAIL.COM,(454) 467-7731,Baby Powder,BABY PRODUCTS,3,30894.02,,2023-10-27,Ibadan,Oyo,nigeria,cash on delivery,PENDING,5,
ORD125830,CUST066868,michael thomas,michael.thomas470@yahoo.com,+2340051035885,Onesie Set,BABY PRODUCTS,three,178144.85,10,07/09/2025,Port Harcourt,Rivers,NG,paypal,delivered,,
ORD128103,CUST055710,Jessica Abubakar,JESSICA.ABUBAKAR@OUTLOOK.COM,+2341688695402,Baby Monitor,BABY PRODUCTS,7,931.53,,"March 17, 2023", New York ,NY,United States,PayPal,n/a,,average tbh
ORD117132,CUST022441,Joseph Nwosu,joseph.nwosu@yahoo.com,8407577144,Sunscreen SPF50,Beuaty,1,19027.34,15,"September 21, 2023",null,--,nigeria,BANK TRANSFER,delivered,2,
ORD126183,CUST058578,charles williams,charles.williams@gmial.com,07439472834,Baby Carrier,BABY PRODUCTS,4,169488.83,50,"June 23, 2023",Dubai,Dubai,UAE,BANK TRANSFER,processing,2,product came late :(
ORD126245,CUST111934,Linda Mohammed,linda.mohammed69@hotmail.com,6205547108,Baby Wipes,Baby product,7,224128.04,25,01/15/2025,Abuja,FCT,Nigeria,credit card,CANCELLED,,average tbh
ORD126224,CUST102589,patricia perez,patricia.perez960@outlook.com,0743-577-3067,Leather Belt,FASHION,6,NULL,,03/06/2024,Johannesburg,Gauteng,SOUTH AFRICA,CREDIT CARD,Processing,4,Not what I expected
ORD102498,CUST047430,  Segun Lee  ,segun.lee@yaho.com,0914-819-0321,Bluetooth Speaker,electronics,5,176759.91,,1691539200,Los Angeles,CA,United States,BANK TRANSFER,PENDING,4,
ORD108610,CUST044093,James Bello,james.bello648@yaho.com,(824) 704-3963,Honey 500ml,Groceries ,3,131080.6,,"March 09, 2025",Johannesburg,Gauteng,South Africa,Credit card ,SHIPPED,1,Not what I expected
ORD132248,CUST000098,Linda Davis,linda.davis810@ymail.com,04151173698,Diaper Pack,Baby Products,10,121377.16,122,1756598400,Calabar,Cross River,Nigeria,USSD,pending,1,average tbh
ORD115816,CUST067865,Obinna Okonkwo,obinna.okonkwo765@hotmail.com,09359852901,Teething Ring,BABY PRODUCTS,1,none,10,11/12/2023,Ibadan,Oyo,nigeria,bank transfer,processing,4,  Poor quality  
ORD104782,CUST103135,Ifeoma Martinez,None,(038) 767-3737,Handbag,Fashon,8,57880.85,50,08-07-2024,Calabar,Cross River,Nigeria,BANK TRANSFER,DELIVERED,,product came late :(
